ALTALINA|ALTELINA;F;ALTILINA;32;;32;362;ALTELINA;1.0
CENSO|KENZO;M;KENSO;;48;48;881;KENZO;1.0
IESO|IEZO;M;YEZO;;24;24;158;IESO;1.0
AVANI|AVANIR|AVANY|AVANYR|HAVANI|HAVANIR|HAVANY;M;AVANEI;;31;31;9746;AVANI;1.0
ALAIDE|ALAYDE|ALIADE|AOLIABE|ELAIDE|ELIABE|ELIABER|ELIADE|ELIADER|ELYABE|EULAIDE|HELAIDE|HELIABE|ILAIDE|ILIABE|LAIDE|LAYDE|LIABE|OLAIDE;M;ALIABE;;45;45;59737;ALAIDE;1.0
ELISINETE|ELIZINETE|LIZINETE|LUIZINETE;F;LISINETE;45;;45;553;LIZINETE;1.0
JOSILANO;M;JOSELANO;;47;47;77;JOSELANO;1.0
ANITA|ANITHA|ANNITA|ANYTA;F;ANEITA;23;;23;38199;ANITA;1.0
UEDISOM|UEDISON;M;UEBISON;;20;20;358;UEDISON;1.0
RUA|RUAH;M;RHUA;;31;31;385;RUA;1.0
GISLEINE|GISLEYNE|GISLINE|JISLEINE;F;GISLYNE;24;;24;3381;GISLEINE;1.0
ALDAILA|ALDILHA;F;ALDILA;66;;66;115;ALDILA;1.0
IRAEL|IRIEL|IRRAEL;M;IRAIL;;29;29;1107;IRAEL;1.0
SIVIA;F;SYVIA;41;;41;1114;SIVIA;1.0
EVANILSE;F;EVANILZE;61;;61;261;EVANILSE;1.0
GENFER|JENFER|JENFFER|JENNFER|JHENFER|JHENFFER|JHENNFER;F;JENNFFER;27;;27;779;JENNFER;1.0
JUCELHO|JUCIELHO;M;JUCELO;;37;37;257;JUCELHO;1.0
SEILDA|SELBA|SELDA|SILDA|SUELDA|ZAILDA|ZALDA|ZEILDA|ZELDA|ZILBA|ZILDA|ZLDA|ZOILDA|ZOLDA;F;ZUILDA;45;;45;87774;ZILDA;1.0
QUERLIANE|QUEROLAINE|QUEROLAYNE;F;QUERLAINE;20;;20;438;QUEROLAINE;1.0
OCIMAR;M;OCIMA;;22;22;3412;OCIMAR;1.0
PALINHO|PAOLINO|PAULINHO|PAULINO|PLINHO|PLINO|POLINO|POULINO|PULINO;M;PALINO;;152;152;20535;PAULINO;1.0
OTACIL;M;OTACIEL;;48;48;121;OTACIL;1.0
MAERLE|MERELE|MERIELE|MERLE|MERYELE;F;MERILE;31;;31;1425;MERIELE;1.0
SUSIANE|SUSYANE|SUSYANNE|SUZIANE|SUZIANNE|SUZYANE|SUZYANNE|ZUZIANE;F;SUZAINE;26;;26;7942;SUZIANE;1.0
GEISIARA;F;JEISIARA;42;;42;145;GEISIARA;1.0
JAMES|JAMMES|JHAMES;M;GAMES;;33;33;20241;JAMES;1.0
DAELIO|DALIO|DELIO|DHULIO|DIELIO|DILIO|DIULIO|DUILIO|DULIO|DUYLIO;M;DOILIO;;61;61;6559;DELIO;1.0
GELENE|GIELENE|GILENE|GIULENE|GLAENE|GLENE|GLENER|GUILENE|GUILHENE|JAILENE|JALENE|JILENE|JIULENE|JOALENE|JOELENE|JOILENE|JOLENE|JUELENE|JULENE;F;JUILENE;79;;79;4585;GILENE;1.0
ALIVELTON|ELIVELTOM|ELIVELTON|ELYVELTON|HELIVELTON|LIVELTON|OLIVELTON;M;ELIVALTON;;25;25;12741;ELIVELTON;1.0
GINO|GUINHO|GUINO|JUINO|JUINOR;M;JINO;;104;104;2566;GINO;1.0
BELAIDE|DELAIDE;F;DILAIDE;20;;20;1256;DELAIDE;1.0
ALUCI|ALUCIR|ELUCI|ELUCIR|ILUCI|LUCEIR|LUCI|LUCIEI|LUCIR|LUCY|LUCYR|LUKI;F;LUCEI;31;;31;43222;LUCI;1.0
ROSAILDO|ROSALDO|ROSEALDO|ROSEILDO|ROSIALDO|ROSIELDO|ROSILDO|ROSOALDO|ROZALDO|ROZILDO;M;ROSALBO;;32;32;5225;ROSILDO;1.0
JENEFI|JENEFIR|JENEFY|JENNEFIR|JHENEFY;F;GENEFI;42;;42;304;JENEFI;1.0
EBENILSON|EDENELSON|EDENILSOM|EDENILSON|EDENLSON;M;EDENEILSON;;20;20;17483;EDENILSON;1.0
VANALDO|VANEILDO|VANELDO|VANILDO|VANLDO;M;VANAILDO;;38;38;12817;VANILDO;1.0
ALAILDE|ALEILDE|ELAILDE|ELEILDE|ELIELBER|ELIELDE|ELIELDER|ELILDE|ELOILDE|HELLDER|ILAILDE|LAILDE|LEILDE|LOILDE|LUILDE;F;LILDE;21;;21;2397;ELILDE;1.0
ELISAMA|ELISAMAR|ELIZAMA|ELIZAMAR|ELYSAMA|ELYZAMA|HELISAMA|ILIZAMA|LISAMA|LISAMAR|LIZAMA|LIZAMAR;F;ALIZAMA;20;;20;13275;ELISAMA;1.0
RENAILSON|RENEILSON|RENELSON|RENIELSON|RENILSOM|RENILSON;M;RENLSON;;28;28;12055;RENILSON;1.0
AGNAILDA|AGNALDA|AGNEILDA;F;AGNILDA;31;;31;960;AGNALDA;1.0
ALZENE|ELZENE|ILZENE;F;ILSENE;20;;20;182;ILZENE;1.0
KETEM|KETEN|KETHEM;F;KETHEN;235;;235;357;KETHEN;1.0
WACHIGTON|WASHIGHTON|WASHIGTOM|WASHIGTON|WHASHIGTON;M;WASHIGTHON;;34;34;5411;WASHIGTON;1.0
JORGIA;F;GORGIA;24;;24;249;JORGIA;1.0
JHONATHN|JHONATN|JONATN;M;JONATHN;;217;217;380;JONATHN;1.0
RAMALHA|RAMELA|RAMILA|RAMYLA;F;RAMILHA;33;;33;1441;RAMILA;1.0
PAILO|PALO|PAOLO|PAOULO|PAULO|PAUULO|PAYLO|POLO|PUALO|PULO;M;POULO;;1383;1383;1428835;PAULO;1.0
IVONELSON|IVONILSON;M;IVONILSOM;;26;26;822;IVONILSON;1.0
JANEI|JANEIR|JANEY|JANI|JANIEI|JANIR|JANNI|JANNY|JANUI|JANUIR|JANY|JANYR|JHANNY|JHANY;F;GANI;87;;87;10107;JANI;1.0
NISLAINE;F;NISLAYNE;21;;21;227;NISLAINE;1.0
SEVI;M;ZEVI;;29;29;50;ZEVI;1.0
MAROM|MARON|MARYON;M;MARRON;;20;20;258;MARON;1.0
ALENISIO|ALENIZIO|ELENISIO|ELENIZIO|HELENISIO|LENISIO;M;LENIZIO;;46;46;713;ELENISIO;1.0
EIRI|IREI|IRI|IYRI|UIRI|YRI|YUIRI;M;YIRI;;52;52;458;IRI;1.0
ELISABEHT|ELISABET|ELISABETH|ELISABHET|ELIZABEHT|ELIZABET|ELIZABETH|ELIZABETR|ELIZABHET|ELYZABETH|HELISABETH|HELIZABET|HELIZABETH|ILISABETH|ILIZABETH|LISABETH|LIZABETH;F;LUIZABETH;24;;24;85158;ELIZABETH;1.0
ALAERTE|ALERTE|ELAERTE|ILAERTE|LAERTE|LAERTHE|OLAERTE;M;LERTE;;23;23;16953;LAERTE;1.0
DEILSSON|DILSSON;M;DIELSSON;;25;25;92;DILSSON;1.0
VERALDO|VERILDO|VEROALDO;M;VERAILDO;;21;21;945;VERALDO;1.0
NATANA|NATANNA|NATHANA|NATHANNA;F;NATANHA;66;;66;3041;NATANA;1.0
AELITON|ALEITON|ALITOM|ALITON|ELEITON|ELITHON|ELITOM|ELITON|ELYTON|EULITON|HAELITON|HALITON|HELITOM|HELITON|HELYTON|HOELITON|HUELITOM|HUELITON|IELITON|ILITON|LEITON|LITON|LUITON|OELITON|OLITON|UALITON|UELITOM|UELITON|UILITON|ULITON;M;AELITOM;;22;22;24860;ELITON;1.0
GEILMA|GELMA|GELMAR|GIELMA|GIILMAR|GILMA|GILMAR|GIULMAR|GLMAR|GOELMA|GOLMAR|GUELMA|GUELMAR|GUIELMAR|GUILMA|GUILMAR|GULMAR|JAELMA|JAILMA|JAILMAR|JALMA|JALMAR|JEILMA|JELMA|JELMAR|JIELMA|JILMA|JILMAR|JIULMAR|JOELMA|JOELMAR|JOILMA|JOILMAR|JOLMA|JOLMAR|JUILMA|JULMA|JULMAR;F;JUELMA;24;;24;290856;GILMAR;1.0
SIDA|SUEIDA|ZEIDA;F;ZIDA;134;;134;520;SIDA;1.0
ROSAMELIA;F;ROSAMALIA;28;;28;492;ROSAMELIA;1.0
SAULLO;M;SALLO;;53;53;403;SAULLO;1.0
GEISIA|GISIA;F;GIZIA;24;;24;139;GEISIA;1.0
KAETLYN|KETALIN|KETELIM|KETELIN|KETELYM|KETELYN|KETHELIM|KETHELIN|KETHELYM|KETHELYN|KETHILIM|KETHILIN|KETHILYN|KETHLEIN|KETHLEYN|KETHLIN|KETHLYN|KETHULIN|KETHULYN|KETHYLIN|KETHYLYN|KETILIM|KETILIN|KETILYN|KETLEIN|KETLEYN|KETLHIN|KETLHYN|KETLIM|KETLIN|KETLIYN|KETLYIN|KETLYM|KETLYN|KETLYNN|KETOLIN|KETULIM|KETULIN|KETULYN|KETYLIN|KHETELIN|KHETELYN|KHETLIN|KHETLYN;F;KETYLYN;52;;52;45148;KETLIN;1.0
EGILDO;M;EJILDO;;24;24;1038;EGILDO;1.0
EDALECIO|EDILECIO;M;EDLECIO;;20;20;108;EDILECIO;1.0
CITIANE|KEITHIANE|KEITIANE|KEITIANNE|KEITYANE|KEYTIANE;F;KITIANE;34;;34;1825;KEITIANE;1.0
RAIMISON|RAIMYSON|RAYMISON;M;RAIMISOM;;39;39;602;RAIMISON;1.0
CELONI|CILONI|CLONI|CLONIR;F;CELONIR;96;29;125;812;CELONI;768
WALMES|WILMES;M;WELMES;;30;30;122;WILMES;1.0
NATALINA|NATHALINA|NATILINA;F;NATLINA;41;;41;26716;NATALINA;1.0
ELIAB|ELIAD|ELYAB|HELIAB|LAID|LAYD;F;ALAID;78;;78;1479;ELIAB;1.0
ALIFE|ALIFER|ALIFFE|ALIFFER|ALYFE|ALYFER|ALYFFER|ELIFE|ELIFER|HALIFE|HALIFER|UALIFE|UALIFER;M;LEIFE;;37;37;7590;ALIFE;1.0
LINCOHN|LINCON|LINKON|LYNCON;M;LINCOM;;651;651;12416;LINCON;1.0
BELMIR|DALMI|DALMIR|DALMY|DELMI|DELMIR;M;DALMYR;;26;26;6400;DALMIR;1.0
GUAN|JHUAN|JHUANN|JUAM|JUAN|JUANN|JUHAN;M;JHUAM;;29;29;47648;JUAN;1.0
ARAISA;F;ARAIZA;29;;29;61;ARAISA;1.0
GANE|JANAE|JANE|JANER|JANNE|JANNER|JHANE|JHANNE;F;JAANE;32;;32;78808;JANE;1.0
MAYARE;F;MAIARE;37;;37;66;MAIARE;1.0
CAILANI|CAILANY|CALANI|CAYLANI|CELANI|CELANIR|CILANI|CLANIR|KAELANI|KAELANY|KAILANI|KAILANNY|KAILANY|KALANI|KALANY|KAYLANI|KAYLANNI|KAYLANNY|KAYLANY|KEILANY|KELANI|KELANY;F;KEILANI;74;;74;5773;KAILANY;1.0
GARCEZ;M;GARCES;;62;62;106;GARCES;1.0
KERI|KERRY|KERY;F;CERI;22;;22;337;KERRY;1.0
ELISABE|ELISABEH|ELIZABEH;F;ELIZABE;146;;146;403;ELIZABEH;1.0
NAHUAN|NAUAN;M;NAUAM;;120;120;1055;NAUAN;1.0
JESUMIRA;F;GESUMIRA;21;;21;102;JESUMIRA;1.0
GILSIVANIA;F;GELSIVANIA;25;;25;94;GILSIVANIA;1.0
ESTE|ESTER|ESTHER|EZTER|HESTER|HESTHER;F;ESTHE;92;;92;113381;ESTER;1.0
GLEISIELY;F;GLEISIELI;98;;98;120;GLEISIELI;1.0
SHANIA;F;XANIA;21;;21;68;SHANIA;1.0
SUZEMARA;F;SUSEMARA;34;;34;98;SUZEMARA;1.0
FABIELI|FABIELY;F;FABILI;24;;24;1588;FABIELI;1.0
JOCICLEI|JOCICLEY;F;JOCIKELI;32;;32;563;JOCICLEI;1.0
MACILEIA;F;MACLEIA;43;;43;457;MACILEIA;1.0
GELINE|GILEINE|GLEINE|GLEINER|GLEYNE|JAELINE|JAILINE|JALINE|JAUELINE|JAYLINE|JELINE|JOALINE|JOELINE|JOLINE|JUELINE|JULEINE|JULIEINE|JULINE;F;GIULINE;24;;24;2869;JALINE;1.0
DEMILTOM|DEMILTON;M;DEMAILTON;;24;24;631;DEMILTON;1.0
ALIVIA|ELIVIA|EULIVIA|HOLIVIA|LEIVIA|LIIVIA|LIVAIR|LIVIA|LIVIAH|LIVYA|LUIVIA|LYVIA|OLIVIA;F;ILIVIA;22;;22;179561;LIVIA;1.0
FABSON;M;FADSON;;26;26;247;FABSON;1.0